1061,1436
950,1514
830,1604
707,1676
668,1667
680,1592
728,1511
761,1430
809,1334
908,1232
1019,1124
1088,1064
1118,1010
1166,929
1265,884
1343,854
1439,791
1526,710
1604,668
1688,617
1811,575
1955,533
2084,476
2195,419
2357,371
2468,329
2555,305
2606,314
2657,341
2720,353
2783,329
2840,335
2888,359
2954,404
2999,479
3050,545
3119,623
3122,680
3086,707
3035,707
2981,677
2909,611
2885,584
2840,584
2777,611
2720,632
2672,641
2522,662
2411,701
2315,737
2261,779
2246,854
2288,980
2303,1025
2378,1064
2546,1094
2678,1145
2774,1193
2810,1277
2783,1355
2810,1415
2846,1460
2921,1499
2951,1517
3005,1550
3044,1586
3035,1670
2987,1760
2966,1790
2924,1823
2801,1829
2717,1787
2657,1754
2567,1703
2492,1646
2417,1550
2387,1484
2339,1418
2282,1349
2210,1277
2108,1238
2042,1208
1958,1187
1883,1193
1853,1211
1775,1238
1712,1253
1646,1292
1547,1331
1430,1340
1373,1346
1301,1352
1283,1340
1280,1298
1259,1295
1223,1325
1190,1361
1154,1376
